n,windows,drift_threshold,rebuilds_including_initial,mean_window_cost,mean_oracle_cost,mean_regret,max_window_regret
32,12,0.0,13,4.185058648097017,4.185058648097018,-1.1842378929335002e-15,0.0
32,12,0.03,7,4.185058648097017,4.185058648097018,-1.1842378929335002e-15,0.0
32,12,0.08,7,4.185058648097017,4.185058648097018,-1.1842378929335002e-15,0.0
32,12,0.15,4,4.216119254157623,4.185058648097018,0.03106060606060505,0.2727272727272725
