n,scenario,method,operations,repetitions,median_ns_per_operation,p95_ns_per_operation,checksum,includes_online_accounting,includes_in_trace_rebuilds,initial_build_excluded
256,mixed_read_heavy,tracking_wfa,256,5,131028.973,133928.383,1675017.000000000000,True,True,True
256,mixed_read_heavy,sorted_array,256,5,515.137,544.922,1675017.000000000000,False,False,True
256,mixed_read_heavy,prefix_sum,256,5,520.344,561.852,1675017.000000000000,False,False,True
256,mixed_read_heavy,fenwick,256,5,358.070,399.414,1675017.000000000000,False,False,True
256,mixed_read_heavy,sqrt_decomposition,256,5,928.711,969.078,1675017.000000000000,False,False,True
256,mixed_read_heavy,segment_tree,256,5,619.793,672.523,1675017.000000000000,False,False,True
256,mixed_read_heavy,certirange_point,256,5,2731.609,2773.109,1675017.000000000000,False,False,True
256,mixed_read_heavy,certirange_range,256,5,2712.402,2719.562,1675017.000000000000,False,False,True
256,point_to_range,python_list,256,5,655.762,661.785,3120207.000000000000,False,False,True
256,point_to_range,tracking_wfa,256,5,129876.465,130740.398,3120207.000000000000,True,True,True
256,point_to_range,sorted_array,256,5,732.094,789.715,3120207.000000000000,False,False,True
256,point_to_range,prefix_sum,256,5,143.555,159.020,3120207.000000000000,False,False,True
256,point_to_range,fenwick,256,5,409.180,425.945,3120207.000000000000,False,False,True
256,point_to_range,sqrt_decomposition,256,5,1255.043,1277.508,3120207.000000000000,False,False,True
256,point_to_range,segment_tree,256,5,778.320,807.453,3120207.000000000000,False,False,True
256,point_to_range,certirange_point,256,5,2423.176,2597.004,3120207.000000000000,False,False,True
256,point_to_range,certirange_range,256,5,2442.871,2560.711,3120207.000000000000,False,False,True
256,alternating_range_update,python_list,256,5,671.223,734.375,1852671.000000000000,False,False,True
256,alternating_range_update,tracking_wfa,256,5,132611.004,134408.527,1852671.000000000000,True,True,True
256,alternating_range_update,sorted_array,256,5,746.582,783.043,1852671.000000000000,False,False,True
256,alternating_range_update,prefix_sum,256,5,2442.219,2738.770,1852671.000000000000,False,False,True
256,alternating_range_update,fenwick,256,5,649.902,672.203,1852671.000000000000,False,False,True
256,alternating_range_update,sqrt_decomposition,256,5,1762.695,1790.363,1852671.000000000000,False,False,True
256,alternating_range_update,segment_tree,256,5,1217.285,1263.023,1852671.000000000000,False,False,True
256,alternating_range_update,certirange_point,256,5,5963.543,6096.191,1852671.000000000000,False,False,True
256,alternating_range_update,certirange_range,256,5,5957.520,6164.875,1852671.000000000000,False,False,True
