dataset,workload,method,sample_keys,source_keys,queries,repeats,budget,median_ns_per_query,p95_batch_ns_per_query,build_ms,index_bytes,correct
sosd_osm_200m,zipf_1_15,sosd_radix_spline,20000,200000000,100000,7,0,20.488,22.398,0.364,782304,true
sosd_osm_200m,hotspot_80_20,std_lower_bound,20000,200000000,100000,7,0,43.644,46.410,0.000,0,true
sosd_osm_200m,hotspot_80_20,eytzinger,20000,200000000,100000,7,0,27.059,28.870,0.000,160008,true
sosd_osm_200m,hotspot_80_20,interpolation_guarded,20000,200000000,100000,7,0,593.156,596.101,0.000,0,true
sosd_osm_200m,hotspot_80_20,certigap_partial,20000,200000000,100000,7,16,36.920,38.154,97.845,144,true
sosd_osm_200m,hotspot_80_20,sosd_radix_spline,20000,200000000,100000,7,0,23.255,23.816,0.364,782304,true
sosd_osm_200m,latest_biased,std_lower_bound,20000,200000000,100000,7,0,42.990,44.129,0.000,0,true
sosd_osm_200m,latest_biased,eytzinger,20000,200000000,100000,7,0,17.860,18.441,0.000,160008,true
sosd_osm_200m,latest_biased,interpolation_guarded,20000,200000000,100000,7,0,713.763,715.016,0.000,0,true
sosd_osm_200m,latest_biased,certigap_partial,20000,200000000,100000,7,16,55.643,56.793,86.299,1392,true
sosd_osm_200m,latest_biased,sosd_radix_spline,20000,200000000,100000,7,0,22.229,24.039,0.364,782304,true
sosd_wiki_200m,uniform,std_lower_bound,20000,200000000,100000,7,0,44.656,46.203,0.000,0,true
sosd_wiki_200m,uniform,eytzinger,20000,200000000,100000,7,0,33.693,37.929,0.000,160008,true
sosd_wiki_200m,uniform,interpolation_guarded,20000,200000000,100000,7,0,648.379,651.411,0.000,0,true
sosd_wiki_200m,uniform,certigap_partial,20000,200000000,100000,7,16,44.429,46.139,102.046,240,true
sosd_wiki_200m,uniform,sosd_radix_spline,20000,200000000,100000,7,0,28.827,30.713,0.263,924484,true
sosd_wiki_200m,zipf_1_15,std_lower_bound,20000,200000000,100000,7,0,48.882,50.157,0.000,0,true
sosd_wiki_200m,zipf_1_15,eytzinger,20000,200000000,100000,7,0,21.965,23.337,0.000,160008,true
sosd_wiki_200m,zipf_1_15,interpolation_guarded,20000,200000000,100000,7,0,341.672,345.543,0.000,0,true
sosd_wiki_200m,zipf_1_15,certigap_partial,20000,200000000,100000,7,16,47.895,49.823,59.623,1392,true
sosd_wiki_200m,zipf_1_15,sosd_radix_spline,20000,200000000,100000,7,0,22.439,26.948,0.263,924484,true
sosd_wiki_200m,hotspot_80_20,std_lower_bound,20000,200000000,100000,7,0,43.307,46.127,0.000,0,true
sosd_wiki_200m,hotspot_80_20,eytzinger,20000,200000000,100000,7,0,27.224,28.768,0.000,160008,true
sosd_wiki_200m,hotspot_80_20,interpolation_guarded,20000,200000000,100000,7,0,702.590,709.031,0.000,0,true
sosd_wiki_200m,hotspot_80_20,certigap_partial,20000,200000000,100000,7,16,36.898,39.277,93.648,144,true
sosd_wiki_200m,hotspot_80_20,sosd_radix_spline,20000,200000000,100000,7,0,26.363,33.508,0.263,924484,true
sosd_wiki_200m,latest_biased,std_lower_bound,20000,200000000,100000,7,0,42.776,44.462,0.000,0,true
sosd_wiki_200m,latest_biased,eytzinger,20000,200000000,100000,7,0,17.970,19.980,0.000,160008,true
sosd_wiki_200m,latest_biased,interpolation_guarded,20000,200000000,100000,7,0,388.768,391.245,0.000,0,true
sosd_wiki_200m,latest_biased,certigap_partial,20000,200000000,100000,7,16,55.413,57.160,87.531,1392,true
sosd_wiki_200m,latest_biased,sosd_radix_spline,20000,200000000,100000,7,0,23.389,26.385,0.263,924484,true
