distribution,n,budget,eta,exact,greedy,beam,balanced,weighted,greedy_absolute_objective_gap,beam_absolute_objective_gap,greedy_relative_objective_gap,beam_relative_objective_gap
uniform,24,3,0.00,4.666667,4.666667,4.666667,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
uniform,24,3,0.15,4.716667,4.716667,4.716667,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
uniform,24,3,0.30,4.766667,4.766667,4.766667,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
uniform,24,4,0.00,4.666667,4.666667,4.666667,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
uniform,24,4,0.15,4.716667,4.716667,4.716667,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
uniform,24,4,0.30,4.766667,4.766667,4.766667,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
zipf,8,1,0.00,2.896189,2.896189,2.896189,3.000000,2.896189,0.000000,0.000000,0.000000,0.000000
zipf,8,1,0.15,3.000000,3.000000,3.000000,3.000000,3.061761,0.000000,0.000000,0.000000,0.000000
zipf,8,1,0.30,3.000000,3.000000,3.000000,3.000000,3.227332,0.000000,0.000000,0.000000,0.000000
zipf,8,2,0.00,2.681559,2.896189,2.681559,3.000000,2.896189,0.214630,0.000000,0.080039,0.000000
zipf,8,2,0.15,2.879325,3.000000,2.879325,3.000000,3.061761,0.120675,0.000000,0.041911,0.000000
zipf,8,2,0.30,3.000000,3.000000,3.000000,3.000000,3.227332,0.000000,0.000000,0.000000,0.000000
zipf,8,3,0.00,2.681559,2.896189,2.681559,3.000000,2.681559,0.214630,0.000000,0.080039,0.000000
zipf,8,3,0.15,2.879325,3.000000,2.879325,3.000000,2.879325,0.120675,0.000000,0.041911,0.000000
zipf,8,3,0.30,3.000000,3.000000,3.000000,3.000000,3.077092,0.000000,0.000000,0.000000,0.000000
zipf,8,4,0.00,2.681559,2.896189,2.681559,3.000000,2.681559,0.214630,0.000000,0.080039,0.000000
zipf,8,4,0.15,2.879325,3.000000,2.879325,3.000000,2.879325,0.120675,0.000000,0.041911,0.000000
zipf,8,4,0.30,3.000000,3.000000,3.000000,3.000000,3.077092,0.000000,0.000000,0.000000,0.000000
zipf,12,1,0.00,3.328652,3.328652,3.328652,4.000000,3.549889,0.000000,0.000000,0.000000,0.000000
zipf,12,1,0.15,3.429354,3.429354,3.429354,4.000000,3.767406,0.000000,0.000000,0.000000,0.000000
zipf,12,1,0.30,3.530057,3.530057,3.530057,4.000000,3.984922,0.000000,0.000000,0.000000,0.000000
zipf,12,2,0.00,3.173934,3.328652,3.173934,4.000000,3.297462,0.154718,0.000000,0.048746,0.000000
zipf,12,2,0.15,3.429354,3.429354,3.429354,4.000000,3.552843,0.000000,0.000000,0.000000,0.000000
zipf,12,2,0.30,3.530057,3.530057,3.530057,4.000000,3.808224,0.000000,0.000000,0.000000,0.000000
zipf,12,3,0.00,3.157438,3.328652,3.157438,4.000000,3.297462,0.171214,0.000000,0.054226,0.000000
zipf,12,3,0.15,3.315225,3.429354,3.315225,4.000000,3.552843,0.114129,0.000000,0.034426,0.000000
zipf,12,3,0.30,3.436068,3.530057,3.436068,4.000000,3.808224,0.093989,0.000000,0.027354,0.000000
zipf,12,4,0.00,3.157438,3.328652,3.157438,3.973146,3.297462,0.171214,0.000000,0.054226,0.000000
zipf,12,4,0.15,3.315225,3.429354,3.315225,3.977174,3.552843,0.114129,0.000000,0.034426,0.000000
zipf,12,4,0.30,3.436068,3.530057,3.436068,3.981202,3.808224,0.093989,0.000000,0.027354,0.000000
zipf,16,1,0.00,3.668926,3.668926,3.668926,4.000000,3.915421,0.000000,0.000000,0.000000,0.000000
zipf,16,1,0.15,3.868587,3.868587,3.868587,4.000000,4.078108,0.000000,0.000000,0.000000,0.000000
zipf,16,1,0.30,4.000000,4.000000,4.000000,4.000000,4.240795,0.000000,0.000000,0.000000,0.000000
zipf,16,2,0.00,3.579836,3.663226,3.579836,4.000000,3.619627,0.083390,0.000000,0.023294,0.000000
zipf,16,2,0.15,3.792860,3.868587,3.792860,4.000000,3.826683,0.075727,0.000000,0.019966,0.000000
zipf,16,2,0.30,4.000000,4.000000,4.000000,4.000000,4.033739,0.000000,0.000000,0.000000,0.000000
zipf,16,3,0.00,3.496380,3.504765,3.496380,4.000000,3.628012,0.008385,0.000000,0.002398,0.000000
zipf,16,3,0.15,3.721923,3.868587,3.721923,4.000000,3.983810,0.146665,0.000000,0.039406,0.000000
