m,n,budget,hot_weight,greedy_splits,greedy_objective,witness_objective,proven_absolute_gap_lower_bound
3,8,3,24.0,0,3.000000000000,2.222222222222,0.777777777778
4,16,3,64.0,0,4.000000000000,2.295774647887,1.704225352113
5,32,3,160.0,0,5.000000000000,2.342857142857,2.657142857143
6,64,3,384.0,0,6.000000000000,2.373493975904,3.626506024096
7,128,3,896.0,0,7.000000000000,2.394160583942,4.605839416058
8,256,3,2048.0,0,8.000000000000,2.408735632184,5.591264367816
9,512,3,4608.0,0,9.000000000000,2.419494139420,6.580505860580
10,1024,3,10240.0,0,10.000000000000,2.427774160543,7.572225839457
