horizon,n,workload,implementation,operations,ns_per_operation,switches,checksum
5000,256,stable_points,tracking_native_fast_sampled,5000,6.8916,0,642980
5000,256,stable_ranges,sorted_array,5000,106.2668,0,161069432
5000,256,stable_ranges,prefix_sum,5000,1.9416,0,161069432
5000,256,stable_ranges,fenwick,5000,5.3666,0,161069432
5000,256,stable_ranges,sqrt_decomposition,5000,22.6666,0,161069432
5000,256,stable_ranges,segment_tree,5000,15.3334,0,161069432
5000,256,stable_ranges,tracking_native_fast_sampled,5000,7.8418,1,161069432
5000,256,stable_updates,sorted_array,5000,1.925,0,0
5000,256,stable_updates,prefix_sum,5000,31.45,0,0
5000,256,stable_updates,fenwick,5000,6.675,0,0
5000,256,stable_updates,sqrt_decomposition,5000,5.3084,0,0
5000,256,stable_updates,segment_tree,5000,12.625,0,0
5000,256,stable_updates,tracking_native_fast_sampled,5000,11.5834,0,0
5000,256,range_to_update,sorted_array,5000,54.2416,0,80536116
5000,256,range_to_update,prefix_sum,5000,15.8668,0,80536116
5000,256,range_to_update,fenwick,5000,6.0334,0,80536116
5000,256,range_to_update,sqrt_decomposition,5000,14.0166,0,80536116
5000,256,range_to_update,segment_tree,5000,16.1332,0,80536116
5000,256,range_to_update,tracking_native_fast_sampled,5000,10.225,2,80536116
5000,256,update_to_range,sorted_array,5000,54.2082,0,-105776
5000,256,update_to_range,prefix_sum,5000,13.0084,0,-105776
5000,256,update_to_range,fenwick,5000,5.95,0,-105776
5000,256,update_to_range,sqrt_decomposition,5000,13.9832,0,-105776
5000,256,update_to_range,segment_tree,5000,13.8416,0,-105776
5000,256,update_to_range,tracking_native_fast_sampled,5000,10.1,0,-105776
5000,256,alternating,sorted_array,5000,53.8166,0,41135929
5000,256,alternating,prefix_sum,5000,15.6,0,41135929
5000,256,alternating,fenwick,5000,5.05,0,41135929
5000,256,alternating,sqrt_decomposition,5000,11.75,0,41135929
5000,256,alternating,segment_tree,5000,10.4666,0,41135929
5000,256,alternating,tracking_native_fast_sampled,5000,9.1666,0,41135929
5000,256,short_phases,sorted_array,5000,54.975,0,41790190
5000,256,short_phases,prefix_sum,5000,16.8916,0,41790190
5000,256,short_phases,fenwick,5000,5.8416,0,41790190
5000,256,short_phases,sqrt_decomposition,5000,14.025,0,41790190
5000,256,short_phases,segment_tree,5000,13.1416,0,41790190
5000,256,short_phases,tracking_native_fast_sampled,5000,9.9582,0,41790190
5000,256,read_mostly,sorted_array,5000,74.9834,0,64341173
5000,256,read_mostly,prefix_sum,5000,4.6,0,64341173
5000,256,read_mostly,fenwick,5000,5.1,0,64341173
5000,256,read_mostly,sqrt_decomposition,5000,16.0416,0,64341173
5000,256,read_mostly,segment_tree,5000,11.6416,0,64341173
5000,256,read_mostly,tracking_native_fast_sampled,5000,9.0916,0,64341173
5000,4096,stable_points,sorted_array,5000,1.9334,0,10144676
5000,4096,stable_points,prefix_sum,5000,1.925,0,10144676
5000,4096,stable_points,fenwick,5000,1.925,0,10144676
5000,4096,stable_points,sqrt_decomposition,5000,1.925,0,10144676
5000,4096,stable_points,segment_tree,5000,1.9416,0,10144676
5000,4096,stable_points,tracking_native_fast_sampled,5000,7.4834,0,10144676
5000,4096,stable_ranges,sorted_array,5000,3548.65,0,41083695800
5000,4096,stable_ranges,prefix_sum,5000,1.9332,0,41083695800
5000,4096,stable_ranges,fenwick,5000,6.1418,0,41083695800
5000,4096,stable_ranges,sqrt_decomposition,5000,98.2834,0,41083695800
5000,4096,stable_ranges,segment_tree,5000,23.925,0,41083695800
5000,4096,stable_ranges,tracking_native_fast_sampled,5000,10.5834,0,41083695800
5000,4096,stable_updates,sorted_array,5000,1.925,0,0
5000,4096,stable_updates,prefix_sum,5000,370.0666,0,0
5000,4096,stable_updates,fenwick,5000,8.15,0,0
5000,4096,stable_updates,sqrt_decomposition,5000,18.0166,0,0
5000,4096,stable_updates,segment_tree,5000,18.9582,0,0
5000,4096,stable_updates,tracking_native_fast_sampled,5000,15.7,0,0
5000,4096,range_to_update,sorted_array,5000,1774.4582,0,20542014164
5000,4096,range_to_update,prefix_sum,5000,183.6168,0,20542014164
5000,4096,range_to_update,fenwick,5000,7.15,0,20542014164
5000,4096,range_to_update,sqrt_decomposition,5000,57.7916,0,20542014164
5000,4096,range_to_update,segment_tree,5000,21.7084,0,20542014164
5000,4096,range_to_update,tracking_native_fast_sampled,5000,13.325,0,20542014164
5000,4096,update_to_range,sorted_array,5000,1775.8666,0,8325066272
5000,4096,update_to_range,prefix_sum,5000,188.25,0,8325066272
5000,4096,update_to_range,fenwick,5000,7.3916,0,8325066272
5000,4096,update_to_range,sqrt_decomposition,5000,57.6916,0,8325066272
5000,4096,update_to_range,segment_tree,5000,21.5918,0,8325066272
5000,4096,update_to_range,tracking_native_fast_sampled,5000,12.9666,0,8325066272
5000,4096,alternating,sorted_array,5000,1776.6916,0,14573790443
5000,4096,alternating,prefix_sum,5000,139.3334,0,14573790443
5000,4096,alternating,fenwick,5000,6.8916,0,14573790443
5000,4096,alternating,sqrt_decomposition,5000,48.0666,0,14573790443
5000,4096,alternating,segment_tree,5000,18.3666,0,14573790443
5000,4096,alternating,tracking_native_fast_sampled,5000,17.8,0,14573790443
5000,4096,short_phases,sorted_array,5000,1780.0834,0,14711058262
5000,4096,short_phases,prefix_sum,5000,183.6334,0,14711058262
5000,4096,short_phases,fenwick,5000,7.3166,0,14711058262
5000,4096,short_phases,sqrt_decomposition,5000,56.4,0,14711058262
5000,4096,short_phases,segment_tree,5000,21.075,0,14711058262
5000,4096,short_phases,tracking_native_fast_sampled,5000,13.35,0,14711058262
5000,4096,read_mostly,sorted_array,5000,2496.8334,0,27038439500
5000,4096,read_mostly,prefix_sum,5000,47.9,0,27038439500
5000,4096,read_mostly,fenwick,5000,6.3334,0,27038439500
5000,4096,read_mostly,sqrt_decomposition,5000,70.975,0,27038439500
5000,4096,read_mostly,segment_tree,5000,29,0,27038439500
5000,4096,read_mostly,tracking_native_fast_sampled,5000,12.6416,0,27038439500
50000,16,stable_points,sorted_array,50000,1.92584,0,425000
50000,16,stable_points,prefix_sum,50000,1.92334,0,425000
50000,16,stable_points,fenwick,50000,1.92668,0,425000
50000,16,stable_points,sqrt_decomposition,50000,1.9225,0,425000
50000,16,stable_points,segment_tree,50000,1.92334,0,425000
50000,16,stable_points,tracking_native_fast_sampled,50000,7.48168,0,425000
50000,16,stable_ranges,sorted_array,50000,7.07168,0,6675000
50000,16,stable_ranges,prefix_sum,50000,2.2,0,6675000
50000,16,stable_ranges,fenwick,50000,3.355,0,6675000
50000,16,stable_ranges,sqrt_decomposition,50000,8.775,0,6675000
50000,16,stable_ranges,segment_tree,50000,8.49918,0,6675000
50000,16,stable_ranges,tracking_native_fast_sampled,50000,7.50666,1,6675000
50000,16,stable_updates,sorted_array,50000,1.92668,0,0
50000,16,stable_updates,prefix_sum,50000,8.8025,0,0
50000,16,stable_updates,fenwick,50000,6.9075,0,0
50000,16,stable_updates,sqrt_decomposition,50000,4.80084,0,0
50000,16,stable_updates,segment_tree,50000,6.32916,0,0
50000,16,stable_updates,tracking_native_fast_sampled,50000,10.135,0,0
50000,16,range_to_update,sorted_array,50000,4.455,0,3337500
50000,16,range_to_update,prefix_sum,50000,5.38584,0,3337500
50000,16,range_to_update,fenwick,50000,4.72168,0,3337500
50000,16,range_to_update,sqrt_decomposition,50000,6.4875,0,3337500
50000,16,range_to_update,segment_tree,50000,7.275,0,3337500
50000,16,range_to_update,tracking_native_fast_sampled,50000,8.74584,2,3337500
50000,16,update_to_range,sorted_array,50000,4.44,0,-2037500
50000,16,update_to_range,prefix_sum,50000,5.31166,0,-2037500
50000,16,update_to_range,fenwick,50000,4.735,0,-2037500
50000,16,update_to_range,sqrt_decomposition,50000,7.2675,0,-2037500
50000,16,update_to_range,segment_tree,50000,7.805,0,-2037500
50000,16,update_to_range,tracking_native_fast_sampled,50000,8.645,1,-2037500
50000,16,alternating,sorted_array,50000,4.44916,0,1586969
50000,16,alternating,prefix_sum,50000,3.97084,0,1586969
50000,16,alternating,fenwick,50000,3.6425,0,1586969
50000,16,alternating,sqrt_decomposition,50000,6.18666,0,1586969
50000,16,alternating,segment_tree,50000,6.85418,0,1586969
50000,16,alternating,tracking_native_fast_sampled,50000,8.07666,0,1586969
50000,16,short_phases,sorted_array,50000,4.88416,0,-24448
50000,16,short_phases,prefix_sum,50000,5.36832,0,-24448
50000,16,short_phases,fenwick,50000,4.65834,0,-24448
50000,16,short_phases,sqrt_decomposition,50000,6.545,0,-24448
50000,16,short_phases,segment_tree,50000,6.76668,0,-24448
50000,16,short_phases,tracking_native_fast_sampled,50000,8.595,0,-24448
50000,16,read_mostly,sorted_array,50000,5.95334,0,2575004
50000,16,read_mostly,prefix_sum,50000,2.52584,0,2575004
50000,16,read_mostly,fenwick,50000,3.26584,0,2575004
50000,16,read_mostly,sqrt_decomposition,50000,6.95834,0,2575004
50000,16,read_mostly,segment_tree,50000,6.6875,0,2575004
50000,16,read_mostly,tracking_native_fast_sampled,50000,7.66834,0,2575004
50000,64,stable_points,sorted_array,50000,1.92418,0,1625000
50000,64,stable_points,prefix_sum,50000,1.92416,0,1625000
50000,64,stable_points,fenwick,50000,1.92334,0,1625000
50000,64,stable_points,sqrt_decomposition,50000,1.925,0,1625000
50000,64,stable_points,segment_tree,50000,1.92334,0,1625000
50000,64,stable_points,tracking_native_fast_sampled,50000,6.85668,0,1625000
50000,64,stable_ranges,sorted_array,50000,14.86,0,101875000
50000,64,stable_ranges,prefix_sum,50000,1.92584,0,101875000
50000,64,stable_ranges,fenwick,50000,4.17,0,101875000
50000,64,stable_ranges,sqrt_decomposition,50000,11.89166,0,101875000
50000,64,stable_ranges,segment_tree,50000,12.12082,0,101875000
50000,64,stable_ranges,tracking_native_fast_sampled,50000,7.0775,1,101875000
50000,64,stable_updates,sorted_array,50000,1.92332,0,0
50000,64,stable_updates,prefix_sum,50000,12.35334,0,0
50000,64,stable_updates,fenwick,50000,6.36916,0,0
50000,64,stable_updates,sqrt_decomposition,50000,4.32666,0,0
50000,64,stable_updates,segment_tree,50000,8.46834,0,0
50000,64,stable_updates,tracking_native_fast_sampled,50000,10.47834,0,0
50000,64,range_to_update,sorted_array,50000,8.35,0,50937552
50000,64,range_to_update,prefix_sum,50000,6.28582,0,50937552
50000,64,range_to_update,fenwick,50000,5.26666,0,50937552
50000,64,range_to_update,sqrt_decomposition,50000,8.11416,0,50937552
50000,64,range_to_update,segment_tree,50000,10.22584,0,50937552
50000,64,range_to_update,tracking_native_fast_sampled,50000,9.14666,2,50937552
50000,64,update_to_range,sorted_array,50000,8.37,0,-17118700
50000,64,update_to_range,prefix_sum,50000,7.36334,0,-17118700
50000,64,update_to_range,fenwick,50000,5.43334,0,-17118700
50000,64,update_to_range,sqrt_decomposition,50000,8.10916,0,-17118700
50000,64,update_to_range,segment_tree,50000,10.4025,0,-17118700
50000,64,update_to_range,tracking_native_fast_sampled,50000,8.80666,1,-17118700
50000,64,alternating,sorted_array,50000,8.22584,0,25168205
50000,64,alternating,prefix_sum,50000,5.83834,0,25168205
50000,64,alternating,fenwick,50000,4.40166,0,25168205
50000,64,alternating,sqrt_decomposition,50000,7.53332,0,25168205
50000,64,alternating,segment_tree,50000,8.16582,0,25168205
50000,64,alternating,tracking_native_fast_sampled,50000,8.69332,0,25168205
50000,64,short_phases,sorted_array,50000,8.56416,0,135324
50000,64,short_phases,prefix_sum,50000,7.44416,0,135324
50000,64,short_phases,fenwick,50000,5.14832,0,135324
50000,64,short_phases,sqrt_decomposition,50000,8.305,0,135324
50000,64,short_phases,segment_tree,50000,9.54166,0,135324
50000,64,short_phases,tracking_native_fast_sampled,50000,9.07084,0,135324
50000,64,read_mostly,sorted_array,50000,10.79834,0,36688768
50000,64,read_mostly,prefix_sum,50000,2.815,0,36688768
50000,64,read_mostly,fenwick,50000,3.975,0,36688768
50000,64,read_mostly,sqrt_decomposition,50000,8.47918,0,36688768
50000,64,read_mostly,segment_tree,50000,8.87416,0,36688768
50000,64,read_mostly,tracking_native_fast_sampled,50000,8.425,0,36688768
50000,256,stable_points,sorted_array,50000,1.94334,0,6425000
50000,256,stable_points,prefix_sum,50000,1.92418,0,6425000
50000,256,stable_points,fenwick,50000,1.92666,0,6425000
50000,256,stable_points,sqrt_decomposition,50000,1.92666,0,6425000
50000,256,stable_points,segment_tree,50000,1.925,0,6425000
50000,256,stable_points,tracking_native_fast_sampled,50000,6.86084,0,6425000
50000,256,stable_ranges,sorted_array,50000,106.91,0,1610676624
50000,256,stable_ranges,prefix_sum,50000,1.92334,0,1610676624
50000,256,stable_ranges,fenwick,50000,5.31918,0,1610676624
50000,256,stable_ranges,sqrt_decomposition,50000,22.6925,0,1610676624
50000,256,stable_ranges,segment_tree,50000,16.40166,0,1610676624
50000,256,stable_ranges,tracking_native_fast_sampled,50000,7.11918,1,1610676624
50000,256,stable_updates,sorted_array,50000,1.92834,0,0
50000,256,stable_updates,prefix_sum,50000,29.67166,0,0
50000,256,stable_updates,fenwick,50000,6.6375,0,0
50000,256,stable_updates,sqrt_decomposition,50000,4.84666,0,0
50000,256,stable_updates,segment_tree,50000,11.41334,0,0
50000,256,stable_updates,tracking_native_fast_sampled,50000,11.4375,0,0
50000,256,range_to_update,sorted_array,50000,54.35084,0,805337880
50000,256,range_to_update,prefix_sum,50000,15.8875,0,805337880
50000,256,range_to_update,fenwick,50000,5.96,0,805337880
50000,256,range_to_update,sqrt_decomposition,50000,13.99416,0,805337880
50000,256,range_to_update,segment_tree,50000,14.18832,0,805337880
50000,256,range_to_update,tracking_native_fast_sampled,50000,9.61582,2,805337880
50000,256,update_to_range,sorted_array,50000,54.215,0,-27523911
50000,256,update_to_range,prefix_sum,50000,16.345,0,-27523911
50000,256,update_to_range,fenwick,50000,5.91584,0,-27523911
50000,256,update_to_range,sqrt_decomposition,50000,13.99334,0,-27523911
50000,256,update_to_range,segment_tree,50000,15.05584,0,-27523911
50000,256,update_to_range,tracking_native_fast_sampled,50000,9.59082,1,-27523911
50000,256,alternating,sorted_array,50000,53.745,0,402461877
50000,256,alternating,prefix_sum,50000,16.66916,0,402461877
50000,256,alternating,fenwick,50000,4.9275,0,402461877
