distribution,n,budget,eta,solver,objective,average_cost,max_cost,time_ms,quality_gap_vs_exact
uniform,12,3,0.15,greedy,3.716667,3.666667,4.000000,0.133167,0.000000
uniform,12,3,0.15,balanced,4.000000,4.000000,4.000000,0.008875,0.283333
uniform,12,3,0.15,weighted,4.000000,4.000000,4.000000,0.013458,0.283333
uniform,12,3,0.30,exact,3.766667,3.666667,4.000000,1.207500,0.000000
uniform,12,3,0.30,beam,3.766667,3.666667,4.000000,2.850375,0.000000
uniform,12,3,0.30,greedy,3.766667,3.666667,4.000000,0.133375,0.000000
uniform,12,3,0.30,balanced,4.000000,4.000000,4.000000,0.008625,0.233333
uniform,12,3,0.30,weighted,4.000000,4.000000,4.000000,0.013083,0.233333
uniform,12,4,0.00,exact,3.666667,3.666667,4.000000,2.439042,0.000000
uniform,12,4,0.00,beam,3.666667,3.666667,4.000000,4.527208,0.000000
uniform,12,4,0.00,greedy,3.666667,3.666667,4.000000,0.133666,0.000000
uniform,12,4,0.00,balanced,3.916667,3.916667,4.000000,0.010584,0.250000
uniform,12,4,0.00,weighted,3.916667,3.916667,4.000000,0.015417,0.250000
uniform,12,4,0.15,exact,3.716667,3.666667,4.000000,2.459542,0.000000
uniform,12,4,0.15,beam,3.716667,3.666667,4.000000,4.582875,0.000000
uniform,12,4,0.15,greedy,3.716667,3.666667,4.000000,0.132917,0.000000
uniform,12,4,0.15,balanced,3.929167,3.916667,4.000000,0.010666,0.212500
uniform,12,4,0.15,weighted,3.929167,3.916667,4.000000,0.015625,0.212500
uniform,12,4,0.30,exact,3.766667,3.666667,4.000000,2.464166,0.000000
uniform,12,4,0.30,beam,3.766667,3.666667,4.000000,4.478416,0.000000
uniform,12,4,0.30,greedy,3.766667,3.666667,4.000000,0.131500,0.000000
uniform,12,4,0.30,balanced,3.941667,3.916667,4.000000,0.010416,0.175000
uniform,12,4,0.30,weighted,3.941667,3.916667,4.000000,0.015625,0.175000
uniform,16,2,0.00,exact,4.000000,4.000000,4.000000,0.682875,0.000000
uniform,16,2,0.00,beam,4.000000,4.000000,4.000000,2.159458,0.000000
uniform,16,2,0.00,greedy,4.000000,4.000000,4.000000,0.088083,0.000000
uniform,16,2,0.00,balanced,4.000000,4.000000,4.000000,0.007125,0.000000
uniform,16,2,0.00,weighted,4.000000,4.000000,4.000000,0.011625,0.000000
uniform,16,2,0.15,exact,4.000000,4.000000,4.000000,0.712583,0.000000
uniform,16,2,0.15,beam,4.000000,4.000000,4.000000,2.178167,0.000000
uniform,16,2,0.15,greedy,4.000000,4.000000,4.000000,0.086125,0.000000
uniform,16,2,0.15,balanced,4.000000,4.000000,4.000000,0.006916,0.000000
uniform,16,2,0.15,weighted,4.000000,4.000000,4.000000,0.011166,0.000000
uniform,16,2,0.30,exact,4.000000,4.000000,4.000000,0.709917,0.000000
uniform,16,2,0.30,beam,4.000000,4.000000,4.000000,2.154541,0.000000
uniform,16,2,0.30,greedy,4.000000,4.000000,4.000000,0.085833,0.000000
uniform,16,2,0.30,balanced,4.000000,4.000000,4.000000,0.007000,0.000000
uniform,16,2,0.30,weighted,4.000000,4.000000,4.000000,0.011458,0.000000
uniform,16,3,0.00,exact,4.000000,4.000000,4.000000,2.498542,0.000000
uniform,16,3,0.00,beam,4.000000,4.000000,4.000000,4.840625,0.000000
uniform,16,3,0.00,greedy,4.000000,4.000000,4.000000,0.089500,0.000000
uniform,16,3,0.00,balanced,4.000000,4.000000,4.000000,0.009083,0.000000
uniform,16,3,0.00,weighted,4.000000,4.000000,4.000000,0.014542,0.000000
