scenario,n,method,solver,fallback,budget,split_count,memory_bytes,selection_score,selection_seconds,candidate_count,test_mean_cost,test_max_cost
stationary_hot_head,64,tuned_nominal,beam,midpoint_binary,2,2,496,4.19798322683706,0.45113858399986384,26,4.19327731092437,8.0
stationary_hot_head,64,fixed_beam,beam,fixed_rounds,4,2,496,,0.0,1,4.218487394957983,8
stationary_hot_head,64,fixed_balanced,balanced,fixed_rounds,4,4,688,,0.0,1,6.0,6
stationary_hot_head,64,fixed_weighted,weighted,fixed_rounds,4,4,688,,0.0,1,4.218487394957983,8
hot_reversal,64,tuned_tv_dro,beam,midpoint_binary,2,2,496,5.197983226837061,0.45268720800004303,26,7.676136363636364,8.0
hot_reversal,64,tuned_nominal,beam,midpoint_binary,2,2,496,4.19798322683706,0.45017366699994454,26,7.676136363636364,8.0
hot_reversal,64,fixed_beam,beam,fixed_rounds,4,2,496,,0.0,1,7.829545454545455,8
hot_reversal,64,fixed_balanced,balanced,fixed_rounds,4,4,688,,0.0,1,6.0,6
hot_reversal,64,fixed_weighted,weighted,fixed_rounds,4,4,688,,0.0,1,7.829545454545455,8
partial_hot_drift_15,64,tuned_tv_dro,beam,midpoint_binary,2,2,496,5.197983226837061,0.4508475840000301,26,4.7157061688311686,8.0
partial_hot_drift_15,64,tuned_nominal,beam,midpoint_binary,2,2,496,4.19798322683706,0.45365800000013223,26,4.7157061688311686,8.0
partial_hot_drift_15,64,fixed_beam,beam,fixed_rounds,4,2,496,,0.0,1,4.760146103896104,8
partial_hot_drift_15,64,fixed_balanced,balanced,fixed_rounds,4,4,688,,0.0,1,6.0,6
partial_hot_drift_15,64,fixed_weighted,weighted,fixed_rounds,4,4,688,,0.0,1,4.760146103896104,8
partial_hot_drift_35,64,tuned_tv_dro,beam,midpoint_binary,2,2,496,5.197983226837061,0.4538596250001774,26,5.412277979373568,8.0
partial_hot_drift_35,64,tuned_nominal,beam,midpoint_binary,2,2,496,4.19798322683706,0.4523644159999094,26,5.412277979373568,8.0
partial_hot_drift_35,64,fixed_beam,beam,fixed_rounds,4,2,496,,0.0,1,5.482357715813598,8
partial_hot_drift_35,64,fixed_balanced,balanced,fixed_rounds,4,4,688,,0.0,1,6.0,6
partial_hot_drift_35,64,fixed_weighted,weighted,fixed_rounds,4,4,688,,0.0,1,5.482357715813598,8
partial_hot_drift_65,64,tuned_tv_dro,beam,midpoint_binary,2,2,496,5.197983226837061,0.45064958299985847,26,6.457135695187166,8.0
partial_hot_drift_65,64,tuned_nominal,beam,midpoint_binary,2,2,496,4.19798322683706,0.45073229099989476,26,6.457135695187166,8.0
partial_hot_drift_65,64,fixed_beam,beam,fixed_rounds,4,2,496,,0.0,1,6.56567513368984,8
partial_hot_drift_65,64,fixed_balanced,balanced,fixed_rounds,4,4,688,,0.0,1,6.0,6
partial_hot_drift_65,64,fixed_weighted,weighted,fixed_rounds,4,4,688,,0.0,1,6.56567513368984,8
uniform_to_zipf,64,tuned_tv_dro,beam,fixed_rounds,0,0,304,6.000000000000001,0.4436540829999558,18,5.999999999999999,6.0
uniform_to_zipf,64,tuned_nominal,beam,fixed_rounds,0,0,304,6.000000000000001,0.44009925000000294,18,5.999999999999999,6.0
uniform_to_zipf,64,fixed_beam,beam,fixed_rounds,4,0,304,,0.0,1,5.999999999999999,6
uniform_to_zipf,64,fixed_balanced,balanced,fixed_rounds,4,4,688,,0.0,1,5.999999999999999,6
uniform_to_zipf,64,fixed_weighted,weighted,fixed_rounds,4,4,688,,0.0,1,5.999999999999999,6
zipf_to_uniform,64,tuned_tv_dro,beam,midpoint_binary,4,4,688,5.800848642172524,0.4640289579999717,40,6.46875,7.0
zipf_to_uniform,64,tuned_nominal,beam,midpoint_binary,4,4,688,4.945462260383387,0.4662367079999967,40,6.828125,8.0
zipf_to_uniform,64,fixed_beam,beam,fixed_rounds,4,4,688,,0.0,1,6.5,7
zipf_to_uniform,64,fixed_balanced,balanced,fixed_rounds,4,4,688,,0.0,1,6.0,6
zipf_to_uniform,64,fixed_weighted,weighted,fixed_rounds,4,4,688,,0.0,1,7.203125,8
stationary_zipf,128,tuned_tv_dro,beam,midpoint_binary,3,3,848,6.764503588516747,1.5553422919999775,38,5.759591366678245,8.0
stationary_zipf,128,tuned_nominal,beam,midpoint_binary,4,4,944,5.661931818181818,1.4497331659999872,38,5.65589645599161,9.0
stationary_zipf,128,fixed_beam,beam,fixed_rounds,4,3,848,,0.0,1,5.7999629957692935,8
stationary_zipf,128,fixed_balanced,balanced,fixed_rounds,4,4,944,,0.0,1,7.0,7
stationary_zipf,128,fixed_weighted,weighted,fixed_rounds,4,4,944,,0.0,1,5.94223063464378,9
stationary_hot_head,128,tuned_tv_dro,beam,midpoint_binary,2,2,752,6.203149920255184,1.4326722910000171,26,5.19327731092437,9.0
stationary_hot_head,128,tuned_nominal,beam,midpoint_binary,2,2,752,5.203149920255183,1.4212609999999586,26,5.19327731092437,9.0
stationary_hot_head,128,fixed_beam,beam,fixed_rounds,4,2,752,,0.0,1,5.218487394957983,9
stationary_hot_head,128,fixed_balanced,balanced,fixed_rounds,4,4,944,,0.0,1,7.0,7
