distribution,n,budget,eta,beam_width,candidate_limit,repeats,median_ms,objective,lower_bound,absolute_gap,relative_gap_to_upper,certificate_verified
zipf,1000,6,0.15,16,32,3,2.01220800045121,8.26601479684,7.56568899374,0.700325803099,0.084723511911,True
hot_middle,1000,6,0.15,16,32,3,3.391333999388735,9.700062688064,9.016559952432,0.683502735632,0.070463744165,True
uniform,1000,6,0.15,16,32,3,3.5757920013566036,10.0,9.670916641963,0.329083358037,0.032908335804,True
zipf,10000,6,0.15,16,32,3,4.0944170013972325,10.603766219724,9.752452769381,0.851313450342,0.080284064426,True
hot_middle,10000,6,0.15,16,32,3,4.86691700098163,13.246270131039,12.291390553493,0.954879577546,0.072086675577,True
uniform,10000,6,0.15,16,32,3,4.979583000022103,13.544825,12.944555522617,0.600269477383,0.044317256028,True
zipf,100000,6,0.15,16,32,3,17.955375000383356,12.958285333561,11.871090260862,1.087195072699,0.083899608993,True
hot_middle,100000,6,0.15,16,32,3,18.448124999849824,16.66953133594,15.565148744464,1.104382591476,0.066251568159,True
uniform,100000,6,0.15,16,32,3,18.628666999575216,16.760350999998,16.218194403263,0.542156596735,0.032347568182,True
