n,scenario,migration_cost_units,candidate,fixed_total_cost,ratio_to_tracking_wfa,memory_slots,height
16,mixed_read_heavy,8.0,sqrt_decomposition,267.000000000000,1.219178082192,20,1
16,mixed_read_heavy,8.0,segment_tree,226.000000000000,1.031963470320,32,4
16,mixed_read_heavy,8.0,certirange_point,668.000000000000,3.050228310502,47,4
16,mixed_read_heavy,8.0,certirange_range,668.000000000000,3.050228310502,47,4
16,mixed_read_heavy,32.0,sorted_array,412.000000000000,1.410958904110,16,0
16,mixed_read_heavy,32.0,prefix_sum,231.000000000000,0.791095890411,33,1
16,mixed_read_heavy,32.0,fenwick,227.000000000000,0.777397260274,33,4
16,mixed_read_heavy,32.0,sqrt_decomposition,291.000000000000,0.996575342466,20,1
16,mixed_read_heavy,32.0,segment_tree,250.000000000000,0.856164383562,32,4
16,mixed_read_heavy,32.0,certirange_point,692.000000000000,2.369863013699,47,4
16,mixed_read_heavy,32.0,certirange_range,692.000000000000,2.369863013699,47,4
16,mixed_write_heavy,2.0,sorted_array,350.000000000000,2.160493827160,16,0
16,mixed_write_heavy,2.0,prefix_sum,661.000000000000,4.080246913580,33,1
16,mixed_write_heavy,2.0,fenwick,289.000000000000,1.783950617284,33,4
16,mixed_write_heavy,2.0,sqrt_decomposition,445.000000000000,2.746913580247,20,1
16,mixed_write_heavy,2.0,segment_tree,413.000000000000,2.549382716049,32,4
16,mixed_write_heavy,2.0,certirange_point,608.000000000000,3.753086419753,47,4
16,mixed_write_heavy,2.0,certirange_range,608.000000000000,3.753086419753,47,4
16,mixed_write_heavy,8.0,sorted_array,350.000000000000,0.821596244131,16,0
16,mixed_write_heavy,8.0,prefix_sum,667.000000000000,1.565727699531,33,1
16,mixed_write_heavy,8.0,fenwick,295.000000000000,0.692488262911,33,4
16,mixed_write_heavy,8.0,sqrt_decomposition,451.000000000000,1.058685446009,20,1
16,mixed_write_heavy,8.0,segment_tree,419.000000000000,0.983568075117,32,4
16,mixed_write_heavy,8.0,certirange_point,614.000000000000,1.441314553991,47,4
16,mixed_write_heavy,8.0,certirange_range,614.000000000000,1.441314553991,47,4
16,mixed_write_heavy,32.0,sorted_array,350.000000000000,0.921052631579,16,0
16,mixed_write_heavy,32.0,prefix_sum,691.000000000000,1.818421052632,33,1
16,mixed_write_heavy,32.0,fenwick,319.000000000000,0.839473684211,33,4
16,mixed_write_heavy,32.0,sqrt_decomposition,475.000000000000,1.250000000000,20,1
16,mixed_write_heavy,32.0,segment_tree,443.000000000000,1.165789473684,32,4
16,mixed_write_heavy,32.0,certirange_point,638.000000000000,1.678947368421,47,4
16,mixed_write_heavy,32.0,certirange_range,638.000000000000,1.678947368421,47,4
16,point_to_range,2.0,sorted_array,647.000000000000,4.757352941176,16,0
16,point_to_range,2.0,prefix_sum,136.000000000000,1.000000000000,33,1
16,point_to_range,2.0,fenwick,230.000000000000,1.691176470588,33,4
16,point_to_range,2.0,sqrt_decomposition,295.000000000000,2.169117647059,20,1
16,point_to_range,2.0,segment_tree,229.000000000000,1.683823529412,32,4
16,point_to_range,2.0,certirange_point,744.000000000000,5.470588235294,47,4
16,point_to_range,2.0,certirange_range,744.000000000000,5.470588235294,47,4
16,point_to_range,8.0,sorted_array,647.000000000000,4.228758169935,16,0
16,point_to_range,8.0,prefix_sum,142.000000000000,0.928104575163,33,1
16,point_to_range,8.0,fenwick,236.000000000000,1.542483660131,33,4
16,point_to_range,8.0,sqrt_decomposition,301.000000000000,1.967320261438,20,1
16,point_to_range,8.0,segment_tree,235.000000000000,1.535947712418,32,4
16,point_to_range,8.0,certirange_point,750.000000000000,4.901960784314,47,4
16,point_to_range,8.0,certirange_range,750.000000000000,4.901960784314,47,4
16,point_to_range,32.0,sorted_array,647.000000000000,2.825327510917,16,0
16,point_to_range,32.0,prefix_sum,166.000000000000,0.724890829694,33,1
16,point_to_range,32.0,fenwick,260.000000000000,1.135371179039,33,4
16,point_to_range,32.0,sqrt_decomposition,325.000000000000,1.419213973799,20,1
16,point_to_range,32.0,segment_tree,259.000000000000,1.131004366812,32,4
16,point_to_range,32.0,certirange_point,774.000000000000,3.379912663755,47,4
16,point_to_range,32.0,certirange_range,774.000000000000,3.379912663755,47,4
16,range_to_update,2.0,sorted_array,651.000000000000,4.717391304348,16,0
16,range_to_update,2.0,prefix_sum,544.000000000000,3.942028985507,33,1
16,range_to_update,2.0,fenwick,325.000000000000,2.355072463768,33,4
16,range_to_update,2.0,sqrt_decomposition,491.000000000000,3.557971014493,20,1
16,range_to_update,2.0,segment_tree,422.000000000000,3.057971014493,32,4
16,range_to_update,2.0,certirange_point,744.000000000000,5.391304347826,47,4
16,range_to_update,2.0,certirange_range,744.000000000000,5.391304347826,47,4
16,range_to_update,8.0,sorted_array,651.000000000000,3.657303370787,16,0
16,range_to_update,8.0,prefix_sum,550.000000000000,3.089887640449,33,1
16,range_to_update,8.0,fenwick,331.000000000000,1.859550561798,33,4
16,range_to_update,8.0,sqrt_decomposition,497.000000000000,2.792134831461,20,1
16,range_to_update,8.0,segment_tree,428.000000000000,2.404494382022,32,4
16,range_to_update,8.0,certirange_point,750.000000000000,4.213483146067,47,4
16,range_to_update,8.0,certirange_range,750.000000000000,4.213483146067,47,4
16,range_to_update,32.0,sorted_array,651.000000000000,2.060126582278,16,0
