n,budget,eta,start,width,hot_weight,greedy_gap,beam_gap,exact_objective,greedy_objective,beam_objective
10,3,0.0,5,2,24.0,1.6428571428571428,0.0,2.2857142857142856,3.9285714285714284,2.2857142857142856
10,4,0.0,5,2,24.0,1.6428571428571428,0.0,2.2857142857142856,3.9285714285714284,2.2857142857142856
12,4,0.0,7,2,24.0,1.5172413793103448,0.0,2.413793103448276,3.9310344827586206,2.413793103448276
10,3,0.0,5,2,16.0,1.5,0.0,2.4000000000000004,3.9000000000000004,2.4000000000000004
10,4,0.0,5,2,16.0,1.5,0.0,2.4000000000000004,3.9000000000000004,2.4000000000000004
12,3,0.0,7,2,24.0,1.4827586206896552,0.0,2.4482758620689653,3.9310344827586206,2.4482758620689653
12,4,0.0,6,2,24.0,1.4482758620689653,0.0,2.4827586206896552,3.9310344827586206,2.4827586206896552
12,3,0.0,6,2,24.0,1.4137931034482758,0.0,2.5172413793103448,3.9310344827586206,2.5172413793103448
10,3,0.15,5,2,24.0,1.3964285714285714,0.0,2.5428571428571427,3.939285714285714,2.5428571428571427
10,4,0.15,5,2,24.0,1.3964285714285714,0.0,2.5428571428571427,3.939285714285714,2.5428571428571427
16,4,0.0,7,2,24.0,1.3548387096774195,0.0,2.6451612903225805,4.0,2.6451612903225805
16,4,0.0,9,2,24.0,1.3548387096774195,0.0,2.6451612903225805,4.0,2.6451612903225805
12,4,0.0,7,2,16.0,1.3333333333333335,0.0,2.571428571428571,3.9047619047619047,2.571428571428571
16,3,0.0,7,2,24.0,1.3225806451612905,0.0,2.6774193548387095,4.0,2.6774193548387095
16,3,0.0,8,2,24.0,1.3225806451612905,0.0,2.6774193548387095,4.0,2.6774193548387095
16,3,0.0,9,2,24.0,1.3225806451612905,0.0,2.6774193548387095,4.0,2.6774193548387095
16,4,0.0,8,2,24.0,1.3225806451612905,0.0,2.6774193548387095,4.0,2.6774193548387095
12,4,0.0,6,3,24.0,1.3209876543209877,0.0,2.6296296296296293,3.950617283950617,2.6296296296296293
16,4,0.0,5,2,24.0,1.2903225806451615,0.0,2.7096774193548385,4.0,2.7096774193548385
16,4,0.0,11,2,24.0,1.2903225806451615,0.0,2.7096774193548385,4.0,2.7096774193548385
