horizon,n,workload,implementation,operations,ns_per_operation,baseline_ns_per_operation,ratio_to_direct,checksum,baseline_checksum
5000,64,stable_ranges,fast_checked,5000,10.1832,1.6916,6.01986285174,10187552,10187552
5000,64,stable_ranges,fast_unchecked,5000,8.5666,1.6918,5.03385507246,10187552,10187552
5000,64,stable_ranges,fast_detached_data_plane,5000,6.3666,2.3668,2.68421052632,10187552,10187552
5000,64,stable_updates,frozen_fenwick_checked,5000,6.2416,6.5334,0.956567049808,0,0
5000,64,stable_updates,frozen_fenwick_unchecked,5000,6.3,6.5332,0.965517241379,0,0
5000,64,stable_updates,static_fenwick_checked,5000,6.375,6.5332,0.976981861707,0,0
5000,64,stable_updates,static_fenwick_unchecked,5000,6.6834,6.5334,1.01533704769,0,0
5000,64,stable_updates,fast_checked,5000,14.025,6.5416,1.89644906853,0,0
5000,64,stable_updates,fast_unchecked,5000,11.8166,6.5334,1.81097318008,0,0
5000,64,stable_updates,fast_detached_data_plane,5000,7.8416,6.5332,1.20052005499,0,0
5000,64,range_to_update,frozen_fenwick_checked,5000,5.125,4.4416,1.15386347262,5093772,5093772
5000,64,range_to_update,frozen_fenwick_unchecked,5000,4.6834,4.475,1.04249844734,5093772,5093772
5000,64,range_to_update,static_fenwick_checked,5000,4.4168,4.6584,0.948136699296,5093772,5093772
5000,64,range_to_update,static_fenwick_unchecked,5000,4.35,4.4334,0.981268011527,5093772,5093772
5000,64,range_to_update,fast_checked,5000,11.525,4.4834,2.57278466843,5093772,5093772
5000,64,range_to_update,fast_unchecked,5000,10.3168,4.3834,2.35107933327,5093772,5093772
5000,64,range_to_update,fast_detached_data_plane,5000,8.1168,5.2,1.5633884202,5093772,5093772
5000,64,update_to_range,frozen_fenwick_checked,5000,5.8834,5.0416,1.16692451109,-930062,-930062
5000,64,update_to_range,frozen_fenwick_unchecked,5000,5.2834,5.1416,1.02757896375,-930062,-930062
5000,64,update_to_range,static_fenwick_checked,5000,5.1,5.15,0.990212199515,-930062,-930062
5000,64,update_to_range,static_fenwick_unchecked,5000,5.0334,5.0582,0.99504950495,-930062,-930062
5000,64,update_to_range,fast_checked,5000,12.875,5.1416,2.50167536819,-930062,-930062
5000,64,update_to_range,fast_unchecked,5000,11.6834,5.0418,2.31730731088,-930062,-930062
5000,64,update_to_range,fast_detached_data_plane,5000,8.275,5.1916,1.59230295092,-930062,-930062
5000,64,alternating,frozen_fenwick_checked,5000,5.2168,3.6582,1.41693017469,2525953,2525953
5000,64,alternating,frozen_fenwick_unchecked,5000,4.75,3.65,1.30176382351,2525953,2525953
5000,64,alternating,static_fenwick_checked,5000,3.6834,3.6418,1.00688863375,2525953,2525953
5000,64,alternating,static_fenwick_unchecked,5000,3.6668,3.6416,1.00005504789,2525953,2525953
5000,64,alternating,fast_checked,5000,12.8916,3.6416,3.54009226714,2525953,2525953
5000,64,alternating,fast_unchecked,5000,11.4332,3.6418,3.13487835686,2525953,2525953
5000,64,alternating,fast_detached_data_plane,5000,7.9082,3.6416,2.16937609842,2525953,2525953
5000,64,short_phases,frozen_fenwick_checked,5000,5.7666,4.9916,1.15193525122,119891,119891
5000,64,short_phases,frozen_fenwick_unchecked,5000,5.3584,4.9416,1.08430126674,119891,119891
5000,64,short_phases,static_fenwick_checked,5000,5.0668,4.9918,1.01258598534,119891,119891
5000,64,short_phases,static_fenwick_unchecked,5000,4.9916,4.9334,1.0033997086,119891,119891
5000,64,short_phases,fast_checked,5000,13.1582,5.025,2.61528358209,119891,119891
5000,64,short_phases,fast_unchecked,5000,11.7834,4.9084,2.39457142857,119891,119891
5000,64,short_phases,fast_detached_data_plane,5000,8.4166,4.9918,1.68506532663,119891,119891
5000,64,read_mostly,frozen_fenwick_checked,5000,4.5082,2.425,1.85509764978,3744792,3744792
5000,64,read_mostly,frozen_fenwick_unchecked,5000,3.775,2.55,1.47893049801,3744792,3744792
5000,64,read_mostly,static_fenwick_checked,5000,2.6582,2.45,1.07402020202,3744792,3744792
5000,64,read_mostly,static_fenwick_unchecked,5000,2.6,2.5,1.04,3744792,3744792
5000,64,read_mostly,fast_checked,5000,12.2666,2.5334,4.84858293203,3744792,3744792
5000,64,read_mostly,fast_unchecked,5000,11.0084,2.5582,4.30318192479,3744792,3744792
5000,64,read_mostly,fast_detached_data_plane,5000,7.225,2.5334,2.85189863425,3744792,3744792
5000,256,stable_points,frozen_fenwick_checked,5000,2.25,1.5084,1.51403389831,642980,642980
5000,256,stable_points,frozen_fenwick_unchecked,5000,1.6918,1.5334,1.10331333159,642980,642980
5000,256,stable_points,static_fenwick_checked,5000,1.3,1.1834,1.00650356147,642980,642980
5000,256,stable_points,static_fenwick_unchecked,5000,1.5,1.5332,1.01612903226,642980,642980
5000,256,stable_points,fast_checked,5000,8.7834,1.525,5.80878688525,642980,642980
5000,256,stable_points,fast_unchecked,5000,9.5834,1.5334,6.3190030331,642980,642980
5000,256,stable_points,fast_detached_data_plane,5000,4.6416,1.5334,3.02727868852,642980,642980
5000,256,stable_ranges,frozen_fenwick_checked,5000,5.65,4,1.40666235124,161069432,161069432
5000,256,stable_ranges,frozen_fenwick_unchecked,5000,4.9332,4.3416,1.13621078815,161069432,161069432
5000,256,stable_ranges,static_fenwick_checked,5000,4.0416,4.125,0.979781818182,161069432,161069432
5000,256,stable_ranges,static_fenwick_unchecked,5000,4.0332,3.95,0.993657398011,161069432,161069432
5000,256,stable_ranges,fast_checked,5000,11.2832,4.075,2.76279754601,161069432,161069432
5000,256,stable_ranges,fast_unchecked,5000,10.3834,3.85,2.66463803681,161069432,161069432
5000,256,stable_ranges,fast_detached_data_plane,5000,7.875,4.125,1.90530339688,161069432,161069432
5000,256,stable_updates,frozen_fenwick_checked,5000,7.3832,7.7332,0.952312852648,0,0
5000,256,stable_updates,frozen_fenwick_unchecked,5000,7.325,7.7334,0.949252261359,0,0
5000,256,stable_updates,static_fenwick_checked,5000,7.3916,7.825,0.960971424114,0,0
5000,256,stable_updates,static_fenwick_unchecked,5000,7.75,7.8,0.991454303551,0,0
5000,256,stable_updates,fast_checked,5000,14.875,7.775,1.91727675809,0,0
5000,256,stable_updates,fast_unchecked,5000,14.2084,7.8,1.81943589744,0,0
5000,256,stable_updates,fast_detached_data_plane,5000,10.0334,7.925,1.29246451613,0,0
5000,256,range_to_update,frozen_fenwick_checked,5000,6.5082,5.9416,1.09536151878,80536116,80536116
